1;RuralHack;Incubatore;http://www.ruralhack.org  ;"progetto di ricerca/azione che indaga sia gli aspetti culturali che quelli tecnologici del rapporto tra innovazione e agricoltura con lo scopo di generare nuove logiche di consumo legate a principi etici e condivisi, abbandonando lo sfruttamento delle risorse e la logica dei brevetti chiusi
";Napoli;Campania;Agricoltura;si, la usa, si, la fornisce;Elaborazione Linguaggio Naturale, Robotica/Sistemi Autonomi;Utilizzo;Utilizzo;Fornisco;Utilizzo;;;;Utilizzo, Fornisco;Utilizzo, Fornisco;;;Human Ecosystem;Università Federico II - Napoli;Università degli Studi di Salerno;Nesta;Oxford;Non saprei;;;;;;;
2;Userbot;Azienda;https://userbot.ai;Intelligenza Artificiale e NLP per il Customer Service;Milano;Lombardia;Customer Service;si, la usa, si, la fornisce;Elaborazione Linguaggio Naturale, Machine/Deep Learning, Sistemi Esperti, Chatbot;;;;;;;;;;;;Metaliquid;Big Profiles;Unfraud;Metaliquid;Big Profiles;Unfraud;;;;;;;
3;Gear;Azienda;http://www.gear.it;Azienda specializzata nel software di gestione e manipolazione di documenti digitali su piattaforme web/mobili/desktop facente parte dell'associazione PDF/A.;Reggio Emilia;Emilia-Romagna;Software per document management;si, la usa;Elaborazione Linguaggio Naturale, Chatbot;Utilizzo;;;;;;;;;;Fornisco;Google;Elettric80;Università Ca' Foscari CISET;Google;Elettric80;Università Ca' Foscari CISET;;;;;;;
4;CINECA;Azienda;https://www.cineca.it/;Cineca è un Consorzio Interuniversitario senza scopo di lucro formato da 70 università* italiane, 8 Enti di Ricerca Nazionali e il MIUR.;Bologna, Milano, Roma;Emilia-Romagna, Lombardia, Lazio;Educazione, Industria di precisione, Pubblica amministrazione centrale, Pubblica amministrazione territoriale (regionale e locale), Ricerca Applicata / Statistica, Robotica, Salute, Sicurezza / Cybersecurity, Smart-Cities;si, la fornisce;Computer Vision, Elaborazione Linguaggio Naturale, Machine/Deep Learning, Sistemi Esperti, Chatbot;Fornisco;;Fornisco;;Fornisco;;Fornisco;;;;;IBM;Università di Bologna;Università Bocconi;Governo Italiano;MIUR;IIT;;;;;;;
5;Xteam SW;Startup;http://www.xteamsoftware.com;Startup che si occupa di sviluppo / ricerca in progetti europei nel settore sanitario, ambientale, smart cities;Rovigo;Veneto;Ambiente, Agricoltura, Educazione, Ricerca Applicata / Statistica, Salute, Smart-Cities;si, la usa, si, la fornisce;Computer Vision, Elaborazione Linguaggio Naturale, Machine/Deep Learning;Utilizzo, Fornisco;Utilizzo, Fornisco;;;Utilizzo, Fornisco;Utilizzo;;Utilizzo, Fornisco;Utilizzo;;Fornisco;IBM;Central Institute of Mental Health;ICCS Athen;Google;Imperial College London;Cineca;;;;;;;
6;Competitoor;Azienda;https://competitoor.com;La soluzione b2b di price intelligence che usa l'IA per riconoscere e confrontare i prezzi dei prodotti online ;Carpi;Emilia-Romagna;Pubblicità / Marketing, Ecommerce ;si, la usa;Machine/Deep Learning;Utilizzo;;;;;;;;;;;Dynamitick ;Awhay;Waterdata;Netcomm ;Gestpay banca sella;Transactionale;;;;;;;
7;Centro Piaggio UniPI;Centro di Ricerca;http://www.centropiaggio.unipi.it;Centro di ricerca di bioingegneria e robitica;Pisa;Toscana;Robotica;si, la usa, si, la fornisce;Machine/Deep Learning, Robotica/Sistemi Autonomi;;;;;;;;;;;;Non sono coinvolto;Non sono coinvolto;Non sono coinvolto;Non sono coinvolto;Non sono coinvolto;Non sono coinvolto;;;;;;;
8;Bozzoole;Azienda;http://www.buzzoole.com;Buzzoole è la più avanzata tecnologia in campo di Intelligenza Artificiale applicata al mondo dell'Influencer Marketing. Si chiama GAIIA (Growing Artificial Intelligence for Influencers Affinity) ed è in grado di individuare il massimo grado di affinità tra Brand e Influencer;Napoli;Campania;Pubblicità / Marketing;si, la fornisce;Elaborazione Linguaggio Naturale, Machine/Deep Learning;Utilizzo, Fornisco;;Utilizzo;;;;;;;;Utilizzo, Fornisco;Nvidia;Netflix;Uber;Facebook;Microsoft;IBM;;;;;;;
9;Dentsu Aegis;Azienda;http://www.dentsuaegisnetwork.it/;Dentsu Aegis Network è uno dei maggiori gruppi operanti nel mercato della comunicazione integrata e offre le migliori expertise per quanto riguarda il media, il digital, la gestione dei big data e i servizi di creatività.;Milano;Lombardia;Pubblicità / Marketing;si, la usa, si, la fornisce;Elaborazione Linguaggio Naturale, Machine/Deep Learning, Chatbot, Cognitive Cybersecurity;;;;;;;;;;;Fornisco;ADmantX srl;Expert System spa;Ibm spa;Nd;Nd;Nd;;;;;;;
10;Ermes Security;Azienda;https://www.ermessecurity.com;Ermes Cyber Security (video presso https://vimeo.com/233278387) utilizza algoritmi brevettati basati su intelligenza artificiale e big data per protegge le aziende dalla perdita di dati dovuta agli algoritmi di tracciamento sul Web.;Torino;Piemonte;Sicurezza / Cybersecurity;si, la usa, si, la fornisce;Machine/Deep Learning;;;;Utilizzo, Fornisco;;;Utilizzo, Fornisco;;;;;Politecnico di Torino;Politecnico di Milano;CNR;Awhy;Elif Lab;Namu;;;;;;;
